t,rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15,rep_16,rep_17,rep_18,rep_19,rep_20,rep_21,rep_22,rep_23,rep_24,rep_25,rep_26,rep_27,rep_28,rep_29,rep_30,rep_31,rep_32,rep_33,rep_34,rep_35,rep_36,rep_37,rep_38,rep_39,rep_40,rep_41,rep_42,rep_43,rep_44,rep_45,rep_46,rep_47,rep_48,rep_49,rep_50,rep_51,rep_52,rep_53,rep_54,rep_55,rep_56,rep_57,rep_58,rep_59,rep_60,rep_61,rep_62,rep_63,rep_64,rep_65,rep_66,rep_67,rep_68,rep_69,rep_70,rep_71,rep_72,rep_73,rep_74,rep_75,rep_76,rep_77,rep_78,rep_79,rep_80,rep_81,rep_82,rep_83,rep_84,rep_85,rep_86,rep_87,rep_88,rep_89,rep_90,rep_91,rep_92,rep_93,rep_94,rep_95,rep_96,rep_97,rep_98,rep_99
0,0.35683761083446663,0.3104256086703334,0.3286735517584575,0.30900382383731506,0.34856724234249503,0.3161450963991802,0.3261010678910642,0.32365953853296114,0.34121153152336425,0.3348824904822275,0.3343524911663662,0.31588229037656895,0.3229019776444722,0.30365589052658953,0.3148192732458901,0.3298020630208033,0.33186215552917947,0.33130252748927524,0.3218013058600096,0.32036552545329106,0.3210101935352805,0.3267502471371251,0.32538592171189845,0.3325350040517385,0.2913620936002236,0.31239111353013427,0.32945323512037344,0.3375342538185818,0.3215426887728204,0.33608674057056287,0.31972187642581323,0.29648140141183027,0.31530941365353565,0.3420883777670446,0.32465965336675867,0.31835463124976476,0.3128047844595543,0.3280581771029513,0.2980265999182935,0.33912216850164445,0.33651172638234844,0.31108677862515366,0.35519785698385176,0.3136510371753528,0.3332454037961551,0.2977146822390478,0.3260900246351098,0.3290291945606537,0.3273176273199446,0.3376437912876651,0.3169127008244768,0.3169098724997831,0.3305600845400634,0.3196718151877313,0.33116994757179935,0.33330489843318184,0.29903713860156245,0.3406154901356313,0.34760101385776,0.32611583259232535,0.32452820283040923,0.3262558973734616,0.32996083377960245,0.31955148535643746,0.35375000197676354,0.32877667345154166,0.3331330108022653,0.3357746557544173,0.31225126483479215,0.3154960288582173,0.31364883555807654,0.3382783582501785,0.3269509460581948,0.31824154916949526,0.3225852704361967,0.32123630693607275,0.30920735661291066,0.322166206007164,0.3297576913071446,0.3230684961719707,0.3176003256091156,0.32539715212625697,0.3392907038055605,0.3366264012678334,0.31647971700480604,0.3267135414330681,0.3265597104778829,0.34789772519235934,0.3273247997286434,0.3267428084098175,0.32018004269545675,0.30751339543032574,0.3071599119036485,0.31046026859513615,0.32136742434187654,0.3122650830086862,0.3593252624562607,0.3512962346459737,0.3175954064038833,0.3533871733362187
1,0.33234020663146335,0.35863755052013035,0.30332690489773917,0.33760652913427264,0.3201445287172132,0.30258473406223557,0.3198627111830778,0.3054714453399986,0.32929273645040824,0.33796036388074946,0.3236563056192755,0.32142992799267983,0.3230169436120264,0.31582145218897106,0.34715163320094666,0.3134145916559109,0.3331897099584079,0.3315155719172518,0.32835883015244705,0.34177711525750254,0.32976199394742994,0.3490235010359485,0.3235504742530229,0.3138989353942782,0.3256568090254175,0.3103157374981405,0.32107966384171993,0.32083332495975264,0.3171950809856631,0.32449492791508205,0.3102417540343153,0.32537426142783715,0.31400517150604246,0.30695274533112793,0.3354066895452383,0.3288387856875955,0.3218110076029319,0.3046464342621913,0.319548293643489,0.3309130501832167,0.3344378594674352,0.32253052243860336,0.3547635431260622,0.3409173185851168,0.32646094908747175,0.3338218587525929,0.33197712327233847,0.3289379226559383,0.3450205466025573,0.3282522510769711,0.3354594710284936,0.32480423002880066,0.309331039634286,0.31469987755520096,0.3363286421084455,0.32846100500316144,0.3258314777448716,0.3266429836902974,0.32580631652811365,0.33702375275529023,0.3083933430835289,0.33383371200394585,0.32025552434496224,0.3254900537171117,0.3258086367178599,0.3238633369682458,0.32032417772817706,0.32469301786144256,0.3241513234365676,0.3296929148513309,0.3143169253697627,0.35629804226917094,0.3280196737207719,0.32895160892250114,0.3498703219577898,0.3051318305550367,0.3417716239980654,0.3516895206304363,0.35028372741381786,0.31371781999279835,0.311331176938077,0.3063872055113321,0.3190650326271586,0.33119662689910767,0.323000174905204,0.32504366359481934,0.33614294255750093,0.32748266695415096,0.3158500952486239,0.3273939729330568,0.30591360906328463,0.3473420943702666,0.32425292520905274,0.31412645710890064,0.3277514103785061,0.31743676691146083,0.34739650921443044,0.3392297406554904,0.3341485157931897,0.32423814590819006
2,0.3332277522992068,0.33086723825327524,0.3188546739752945,0.3214218472676414,0.3198247291802387,0.3179927851435439,0.31131607456823873,0.36843782743456766,0.3359478677031821,0.32070590294774853,0.2996559758125136,0.3468021223402237,0.32374025181885374,0.31487406353346903,0.326444256719172,0.3138273097053954,0.3227220234555272,0.3439766260834579,0.33809341799362336,0.3277440688826194,0.3330528612914069,0.32103734674627116,0.32031833559016804,0.35075605002742316,0.3388079394265346,0.3227626154244056,0.3405068035025099,0.34631642012293756,0.3151702023765076,0.32271458873236947,0.3304700422732801,0.3138054508162039,0.32612714784580243,0.33350620683264226,0.3243000736598022,0.31531549392814234,0.32412379862399743,0.3481856176623227,0.32720206434674576,0.3447498893108531,0.340277888447304,0.3428047261300247,0.32811372158564184,0.3258610860520507,0.32879849328124455,0.3226620527312299,0.33426504285398506,0.3072955882209941,0.3272870192448881,0.311560334020233,0.32589815262155436,0.32609110855645274,0.3108285798729121,0.33341634897845407,0.30121195135666967,0.3392741437400623,0.3265282852652269,0.34835259883756453,0.3272720946621052,0.3415699177764471,0.3158592769542589,0.3083824336358355,0.2978715748277001,0.3276584914441336,0.32950308231761094,0.30727461220769064,0.3063046830813658,0.33315070102053956,0.3185568771745848,0.33588926735512425,0.33013900065889495,0.3001231525498158,0.32456837251737103,0.31115179563468565,0.327243965884329,0.31131769180260516,0.3328189533358532,0.3051500960218899,0.3186931716663217,0.3249619627312552,0.31761654665704786,0.32879583979591154,0.32059368075298267,0.33576509663127946,0.3176221081602687,0.3035552522024034,0.31951990136854214,0.3318674923775836,0.3286481993306725,0.3422833096861686,0.3060753195161025,0.3086331913887771,0.3149899378950548,0.3129397088414036,0.3112767277852135,0.3178143888617321,0.3339489195478161,0.3390686992782367,0.3263294355849385,0.32002299541384605
3,0.3266549900956307,0.3319793390304364,0.3471317917609815,0.3208160865051751,0.32593730693922474,0.30596328096986564,0.328002933381312,0.3665861682428136,0.2994131885908216,0.3222312443378524,0.32465909950160243,0.3281232264582279,0.31538598325285716,0.31426277585482787,0.324723953868841,0.3342080977639118,0.32089033034344683,0.3390377614757899,0.33213010798044446,0.3083555605427345,0.33461378572729855,0.32738439714728795,0.3423607583870877,0.31696548302679417,0.3371558936871422,0.3370235320020564,0.31528591910655723,0.32468645082306646,0.3156423150687663,0.332363885811939,0.3258215005818748,0.3115537587937375,0.3207329117873273,0.3186778194032087,0.3434077802112752,0.32160647504584405,0.32429553494240776,0.3323577642351592,0.3185950771217615,0.30384164586525764,0.3013483116477607,0.3267112181714637,0.33567569424007526,0.317923877872166,0.3042953818172228,0.3362950450272363,0.3304166411862067,0.3201241887162044,0.32142047559539244,0.32435900693816955,0.2982261331035517,0.33933741782074484,0.32796477749744674,0.31864906767170853,0.32075380324722585,0.31336287325589945,0.32251283199550906,0.3179132888863923,0.3022309507258462,0.3261206921568406,0.32014444630519673,0.3053836318743841,0.3088744417620586,0.3082016453402702,0.3231107110216791,0.3121433876368337,0.32791875069041265,0.3496428175495394,0.3068003622198746,0.3225024440782639,0.3470243569412773,0.3118885571850119,0.32527038779847145,0.31049982299087625,0.3119232768762454,0.32237326333826233,0.3521660070613476,0.3140510162839509,0.31077067652238927,0.3207129052764944,0.283845922096594,0.315945912715726,0.32841306245802193,0.31928893486645415,0.32912285143194164,0.34080547023116775,0.31946589615813775,0.31578730896009005,0.35322577339618244,0.3337712097855164,0.33482480708981827,0.32723397583162755,0.3258353578839565,0.32639519558370306,0.3289178924129089,0.3296342126828491,0.3414808119940178,0.3451966746844086,0.3227325012391124,0.31341414461819117
4,0.3237725977201781,0.32928150616300345,0.3429934635762758,0.2995107453116313,0.34888024037725085,0.3246082686613384,0.33168365310929265,0.32760973698774143,0.32913728071221143,0.32259632896170387,0.30449057997163337,0.3321754104064692,0.32170823114188407,0.3125278647753008,0.31104094644305713,0.33920612267894584,0.31424091396683196,0.3222927116264186,0.334224447485774,0.3082847829384391,0.3166582608554863,0.3315452956357587,0.3068358167030576,0.33636210428066127,0.32864919452343233,0.32265469936434665,0.31508329551551667,0.33608825795058445,0.32382889358296424,0.3107604561114777,0.31180761940709373,0.3081814792905505,0.32560274339663986,0.35605801207006366,0.32511861533168346,0.3248564564976314,0.32263886411533305,0.3462252308885666,0.3183760857487803,0.31515590463891563,0.3319957495767176,0.33603529099473756,0.3333109154646653,0.31889085467304806,0.32386558755014727,0.31301769703868565,0.350805893293806,0.3426733576162324,0.31140968631804106,0.323077294374315,0.3277329237301645,0.32023245996407274,0.2939201896038868,0.3147565711580705,0.32427144228078214,0.3395494494392082,0.3260731118890196,0.3390904617669447,0.3175796012605058,0.30465398632451357,0.3173497403376657,0.29746540540296207,0.3310177516349433,0.3206162980237738,0.3245277497998077,0.32687112841632154,0.30349558039807906,0.32143904910380866,0.326530128780946,0.33130083293037316,0.3248612369908624,0.3363858958446676,0.3348122304279234,0.32190689129992095,0.31959325651064485,0.3173583532419727,0.31426737159323237,0.33820108844502034,0.34649881999170595,0.3166039603578689,0.3137738714356596,0.29264444375038634,0.3143888786654637,0.3368801968989234,0.2918226990687815,0.315380762508391,0.32120131889534737,0.3309787422792776,0.32244545019909465,0.32771573933672127,0.3157275527315997,0.3325929847900745,0.3347863699618814,0.3275856079031266,0.32652574044059957,0.33911062366199485,0.3317019706131887,0.32977737298442755,0.3308580955180077,0.3333907247438258
5,0.32446728495388644,0.3214369373550643,0.32839123624745153,0.3056590183855945,0.30850431844962045,0.30509699972961757,0.3115672384839531,0.35507485771813063,0.31745026259155956,0.34075830306849814,0.32495363103886704,0.328879521035726,0.33275260854553323,0.3161848936611531,0.31153447141948454,0.31914120676546653,0.3104685220958581,0.3050604177633349,0.32571854476206485,0.3140223876629885,0.30334208866892276,0.3367112898699255,0.3392135054073415,0.3460417915762868,0.33081015071369957,0.3391187794530319,0.3215674142262134,0.34215579488211995,0.3245239316333964,0.34114191528032684,0.33035046527514017,0.31969620876587024,0.3215492007292082,0.31871872677418545,0.3168937752446595,0.30811149649511616,0.3283561957020512,0.3321844673934912,0.3222085802507091,0.31568748285014553,0.3204361512904694,0.3549593000909209,0.3349887961897998,0.32655772024196705,0.31799425353172545,0.3014784464541107,0.3140202477203974,0.323877604054687,0.31481310588924327,0.3238061827022553,0.327193351600391,0.3333415261172777,0.3035330312541367,0.32459168014227663,0.3372628501866931,0.32219303715375763,0.3166881549381485,0.3268821038059962,0.33346656101344824,0.3097959512247684,0.33423173896659525,0.3092702224724776,0.34280874667405487,0.313773338847534,0.34513978401694223,0.32701816244552806,0.32817075082354374,0.32998889247609053,0.32691340817026904,0.33180657979243694,0.32262955853398234,0.32317789104384864,0.34321930455847066,0.3281378599949759,0.34034613004225667,0.32052678424434894,0.32970067601335207,0.32631574172263067,0.319800828119527,0.33623810553185285,0.3242791330803289,0.30677742701429966,0.3195843302362368,0.3355558158341019,0.29520415481496454,0.3120550591359459,0.32442225997764923,0.316357388691215,0.32122837356505674,0.32227202685628104,0.32292106917946867,0.3562488852769409,0.30515738424227024,0.31774832746666093,0.3125987096106077,0.30924698579739857,0.3303378034650323,0.32707119333299967,0.3714908656221329,0.3321215927167317
6,0.3706016129279618,0.32275645666239866,0.33758988984672883,0.30528850536623686,0.303498739328037,0.32000858364982887,0.3388123350490863,0.3409871005250972,0.3169993299835224,0.3258204891789348,0.3329517639976668,0.31379908287612235,0.3097306146780287,0.3300346753689024,0.3131123890528819,0.31502605106710874,0.3198537438659096,0.3077841865956258,0.32691389039930846,0.31880277101151083,0.3112826536443529,0.32317347509793326,0.34922290342835666,0.3443472452317743,0.3220710133396019,0.3272875305652755,0.31094058008196146,0.3431573571629933,0.3157416039690597,0.31188939096192436,0.32483423684637375,0.3154741439507073,0.31272027558459353,0.3120055404722914,0.3289647716987428,0.3343727142944377,0.32312767702742845,0.3390253590530055,0.33122165502093076,0.32587296885834144,0.29328410123252635,0.3055243484802183,0.3428394599470505,0.31351279549226996,0.3184797830859146,0.3246977848698725,0.32912603720455763,0.3321178604282583,0.3327519359750555,0.3344369418328198,0.3278553135678105,0.33159404237769985,0.3175172903652041,0.3204667506598321,0.31584172381087444,0.3251765920065567,0.32686818942120055,0.32979756406949623,0.3158520861363822,0.3229833061403125,0.32983027090983535,0.31663559217635007,0.32360412278240147,0.2990778693992615,0.32211976550023136,0.35195883440203846,0.3118001709610239,0.3424937470812521,0.3157333069724471,0.3451333987251115,0.3127989625894385,0.319083096627629,0.3252068267533293,0.321211628499153,0.3321949312280453,0.3249641740822227,0.34253711940390036,0.3171877720497488,0.3067966787374977,0.32305650293711835,0.31879718547768054,0.29970829741184213,0.32828031520314516,0.3370546257593799,0.3295242458977931,0.32575332388242023,0.31897115495418393,0.33433677171097803,0.3351144317169209,0.332063681512144,0.3153799688490152,0.3207304112555696,0.3106564303083959,0.33040480623472457,0.3355867150068247,0.31447262864950687,0.3399746996092337,0.31283544842303934,0.3097659124752151,0.3372053136724991
7,0.337864384947063,0.3284257146375863,0.2981281030372504,0.3059366350811447,0.3237640155929573,0.3075549859626562,0.3266098691033885,0.3276231031584495,0.3111105298052271,0.3565801718855377,0.31901042033891736,0.324005213997719,0.32525708905167944,0.3300430697657092,0.35479523701701215,0.30007184575397794,0.3093770754896965,0.323824826384865,0.3164942154496929,0.33110379624099234,0.32383886846733845,0.3023594293495119,0.3331159157281097,0.3317886527715003,0.3307756712729081,0.34704172144710915,0.3317154764283331,0.3422705273063332,0.33039308386561334,0.310724014939196,0.321057656614625,0.33156185089658297,0.31043617159825,0.32275542764825305,0.3152831171454765,0.3203347499018433,0.34416399847964807,0.3347496308055334,0.336255198547378,0.3281423527156482,0.31719762686975506,0.3015431609716927,0.34658112885591374,0.29895808365425747,0.311791549016372,0.3158769934760276,0.32590015299044794,0.32803293703625835,0.32450939251324223,0.34268185357902325,0.32094878050827336,0.3507823719734594,0.3369965451316046,0.320106824955237,0.3353537906980886,0.32174599681357846,0.32701010119581125,0.35167837197766233,0.33122765323936443,0.3267167470314259,0.34382099701357915,0.3019216608212509,0.32271561208092003,0.3127485362543246,0.3249697175021668,0.3247517061083241,0.31541647227040903,0.34156036008208973,0.3388744168572745,0.3205436959709868,0.31953450894538327,0.3176544238232371,0.347722863253106,0.3569307686397504,0.3169892190502474,0.3333845602047919,0.35434619932670597,0.32590055483228453,0.3246869236287036,0.30604264051558316,0.3266751411354652,0.33972770738464125,0.33634121133321343,0.3100386542030592,0.30380098797857336,0.3300303801895784,0.3174067759041825,0.3352763559096507,0.31372967256931156,0.3269622726626208,0.3149251240792594,0.33015297163011115,0.32819438885430985,0.3104169560619815,0.3133136899870266,0.3167551045242511,0.315622022102863,0.3336013773680327,0.31738077655264574,0.31366174064678354
8,0.3584475706431207,0.3338297613345656,0.3282541382459927,0.2989502110396122,0.3172903564011369,0.3092781274153088,0.3208208338998102,0.3202698860551014,0.3260564875873732,0.327561591386474,0.3189332452289721,0.3155121896805709,0.2973014704533518,0.31427895286162544,0.32441956056578125,0.3160710867547772,0.32848430520665106,0.31624015164527686,0.3408974960161193,0.3177528105719226,0.3057266658941959,0.3452668167676946,0.32458015376594646,0.3456485875178558,0.33840460326813293,0.33358432902027985,0.3228104819358296,0.322121451406907,0.3044685670128694,0.32327577286348985,0.3030347759955873,0.32546121857659494,0.3257736018379448,0.33378385455771536,0.3242110671580101,0.3327798534242657,0.32363690054315686,0.34876956741952303,0.3308373560038579,0.3164351143579474,0.3142798403397348,0.3147108030832836,0.34559366355692916,0.3236183415942607,0.32496166875754934,0.31938570781153736,0.3441783793947828,0.3358270339355932,0.32031388825344437,0.3261334823332804,0.3131523914912675,0.32102803217273695,0.31093415608253727,0.32019776612860973,0.3336754767916887,0.34089136980533835,0.32107251427533307,0.33696684670798616,0.3270264836637632,0.32322448460687114,0.335862294758384,0.3177498703672307,0.31349996763755994,0.321006865587835,0.3399007290535866,0.33643816579883096,0.30822220940413336,0.3369083300667156,0.34608234531860804,0.3658679646875792,0.3151323132198117,0.31368901405995325,0.32226967107359294,0.34632992819955677,0.3195880233539855,0.33062092753781835,0.34132431469158386,0.32091282831012613,0.33214420793210825,0.3299132809043232,0.32106820433016836,0.3140744056412651,0.31614355285280316,0.3270352515680607,0.3180011833842079,0.3151209655511152,0.32258048830764313,0.344555307116934,0.31632894409362494,0.33322184862561355,0.31198229342761447,0.3281065573350254,0.32335914922666575,0.3200038752596135,0.32355887108034204,0.3494946652723377,0.3589664454970159,0.3029965602411079,0.34137087803879257,0.3110894435541107
9,0.33105944698375134,0.32506947220847493,0.32735323821140605,0.32940055248909994,0.3153034439495495,0.33701939073321535,0.32400868287473117,0.33959028468541946,0.318160603066867,0.34432447307521524,0.3349694298131918,0.3020595471205676,0.3144866329348058,0.3179690474823925,0.3240554685933891,0.3000477004991727,0.31739687362940544,0.3285030652909732,0.32391045343442665,0.30435978848502165,0.32473577357604994,0.3141383902525014,0.34256199314420693,0.3308479656865487,0.3398841839543535,0.34035731188797275,0.338350746428521,0.34520986599433934,0.3134667307318207,0.32693525485022434,0.31429471497706846,0.32935622750117466,0.3021667717252624,0.3300712532113702,0.33173787941122973,0.3192590499688096,0.3073726289823559,0.33770975743266385,0.327246403339975,0.3158035835739527,0.3165848485614147,0.3162543126100975,0.3399290071069349,0.3081627056689061,0.3256019574634486,0.3157716887195453,0.3207038958288905,0.32342950017382865,0.31712789555631793,0.33715865296496195,0.3256102767484471,0.3355482330105126,0.3139538662393844,0.32116150734712323,0.3275846656537421,0.31853301537605117,0.3222055622504084,0.32683260553700266,0.3201462978711168,0.3275732210247267,0.34546748441664643,0.31634307280607754,0.31641468340882467,0.3421444261268952,0.33498667172194996,0.3193618058036865,0.29629397786577766,0.31979544535023346,0.3188843967046474,0.3516050151305547,0.31282291848963995,0.33082668574844765,0.33803122879056635,0.31527641528708344,0.31959570374300617,0.3214421105006099,0.3416302779009098,0.3144431584867703,0.33278852555373173,0.3152799486112253,0.32144730313989134,0.31771146049091864,0.33720537811200213,0.3399819749409404,0.3032081594212468,0.324099873281187,0.31679391565145754,0.32765064964843915,0.3225705652799681,0.3126209752700021,0.3068136037686219,0.3330160177802556,0.30769908876287844,0.32947630214060053,0.3150593583702274,0.30146772019344376,0.3267252018323971,0.3200690139991228,0.3249376715513303,0.32980202343361376
